"latitude","longitude","objeto"
10.403426,-61.491999,"Puerto"
10.750623,-62.739512,"Pueblo"
10.710389,-62.846928,"Pueblo"
10.708917,-63.070548,"Pueblo"
10.702054,-63.134575,"Pueblo"
10.702004,-63.1147,"Atracadero"
10.722132,-63.160248,"Atracadero"
10.716025,-63.160654,"Atracadero"
10.675819,-63.244363,"Puerto"
10.666489,-63.273616,"Atracadero"
10.439882,-64.045621,"Pueblo"
10.435668,-64.025682,"Pueblo"
10.439928,-64.014148,"Pueblo"
10.442986,-63.998115,"Pueblo"
10.446349,-63.968141,"Pueblo"
10.452015,-63.954646,"Pueblo"
10.448557,-63.933087,"Pueblo"
10.448339,-63.919229,"Pueblo"
10.449008,-63.897475,"Pueblo"
10.445332,-63.886079,"Pueblo"
10.442467,-63.864495,"Pueblo"
10.439528,-63.81659,"Pueblo"
10.441606,-63.788863,"Pueblo"
10.451079,-63.763292,"Pueblo"
10.496506,-63.738159,"Pueblo"
10.47355,-63.665775,"Pueblo"
10.489051,-63.676881,"Pueblo"
10.466723,-63.694895,"Pueblo"
10.552448,-63.829932,"Pueblo"
10.533225,-63.795119,"Pueblo"
10.554711,-63.903334,"Pueblo"
10.574095,-64.068248,"Pueblo"
10.573413,-64.067726,"Atracadero"
10.578927,-64.07351,"Atracadero"
10.579476,-64.07386,"Pueblo"
10.56609,-64.116342,"Pueblo"
10.566123,-64.118489,"Atracadero"
10.570955,-64.12029,"Atracadero"
10.578541,-64.133517,"Pueblo"
10.579188,-64.122893,"Pueblo"
10.571944,-64.16477,"Pueblo"
10.554845,-64.202096,"Pueblo"
10.507328,-64.232478,"Pueblo"
10.554363,-64.201537,"Atracadero"
10.558351,-64.185733,"Pueblo"
10.56395,-64.17388,"Atracadero"
10.571045,-64.164078,"Atracadero"
10.578017,-64.133127,"Atracadero"
10.57933,-64.124098,"Atracadero"
10.554484,-63.903406,"Atracadero"
10.451045,-63.94496,"Atracadero"
10.451671,-63.89959,"Atracadero"
10.444544,-63.784317,"Atracadero"
10.495517,-63.736731,"Atracadero"
10.545892,-64.207972,"Pueblo"
10.575929,-64.264807,"Puerto"
10.640003,-64.235964,"Atracadero"
10.61652,-64.13952,"Atracadero"
10.619009,-64.132609,"Atracadero"
10.630537,-64.016062,"Atracadero"
10.628965,-63.902974,"Atracadero"
10.649371,-63.83123,"Atracadero"
10.648438,-63.830399,"Pueblo"
10.679926,-63.821478,"Atracadero"
10.664786,-63.406483,"Atracadero"
10.677813,-63.395813,"Atracadero"
10.67344,-63.352192,"Pueblo"
10.707899,-63.172733,"Pueblo"
10.716553,-62.82698,"Pueblo"
10.716948,-62.827106,"Atracadero"
10.72138,-62.807181,"Pueblo"
10.733224,-62.771475,"Pueblo"
10.661404,-61.938355,"Atracadero"
10.565794,-62.583177,"Atracadero"
