"latitude","longitude","ChlorophyllaConcent.Mean","RemoteReflectance.Mean","SSTemperatureDay.Mean","SeaSaltColumnDensity.Mean","Confiable","Ecosystem"
10.7,-66.6,123.8869,0.3346,23.6289,31.973,TRUE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
10.7,-66.7,117.39,0.3292,23.6697,31.973,TRUE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
10.7,-68.2,219.2431,0.271,25.3162,41.8899,TRUE,"Norte-Rabuski-Medio"
10.7,-68.3,424.1292,0.0935,26.1643,41.8899,TRUE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
10.7,-68.3,424.1292,0.0935,26.1643,41.8899,TRUE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
10.8,-62.3,284.0646,0.0834,24.1483,34.677,TRUE,"Cominoto-La Pecha"
10.8,-62.4,274.4715,0.073,24.0729,34.677,TRUE,"Cominoto-La Pecha"
10.8,-62.5,275.4602,0.0799,23.9097,33.7755,TRUE,"Cominoto-La Pecha"
10.8,-62.6,294.5812,0.0746,23.7142,33.7755,TRUE,"San Agustin-Carabela"
10.8,-62.7,213.4033,0.1327,23.6131,33.7755,TRUE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
10.8,-62.8,288.1995,0.0716,23.4076,33.7755,TRUE,"Cominoto-La Pecha"
10.8,-62.9,334.3908,0.0635,23.4441,33.7755,TRUE,"Cominoto-La Pecha"
10.8,-63,292.7992,0.0866,23.566,33.7755,TRUE,"San Agustin-Carabela"
10.8,-63.1,293.6407,0.0629,23.4173,29.268,TRUE,"Cominoto-La Pecha"
10.8,-63.2,422.6461,0.0541,23.2751,29.268,TRUE,"Cominoto-La Pecha"
10.8,-63.3,495.79,0.0225,23.0653,29.268,TRUE,"Cominoto-La Pecha"
10.8,-63.4,628.5774,0.0361,22.9133,29.268,TRUE,"Cominoto-La Pecha"
10.8,-63.5,660.5946,0.0717,22.7424,29.268,FALSE,"Cominoto-La Pecha"
10.8,-63.6,522.3276,0.1074,22.8377,29.268,TRUE,"San Agustin-Carabela"
10.8,-63.8,403.0317,0.1429,22.9864,25.6621,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.8,-63.9,429.7737,0.1424,23.3272,25.6621,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.8,-64,421.6534,0.1455,23.2876,25.6621,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.8,-64.1,478.5385,0.1156,23.2009,25.6621,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.8,-64.2,421.7463,0.1336,23.4908,25.6621,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.8,-64.3,369.8623,0.2106,23.5343,25.6621,TRUE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
10.8,-65.1,27.4148,0.4153,24.4924,32.8745,TRUE,"Playa Tiburon-La Pared-Petaquire-Media Legua-Punta Mono"
10.8,-65.2,26.1485,0.4337,24.6143,32.8745,TRUE,"Playa Tiburon-La Pared-Petaquire-Media Legua-Punta Mono"
10.8,-65.3,24.6482,0.4619,24.6783,32.8745,TRUE,"Playa Tiburon-La Pared-Petaquire-Media Legua-Punta Mono"
10.8,-65.4,24.3545,0.4537,24.8192,32.8745,TRUE,"Playa Tiburon-La Pared-Petaquire-Media Legua-Punta Mono"
10.8,-68.3,327.0231,0.1667,25.7616,41.8899,TRUE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
10.8,-68.3,327.0231,0.1667,25.7616,41.8899,TRUE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
10.8,-68.4,369.7954,0.1892,27.14,41.8899,FALSE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
10.9,-63.7,401.8505,0.0929,23.0776,34.6771,TRUE,"San Agustin-Carabela"
10.9,-63.8,341.8996,0.0723,23.2743,33.7756,TRUE,"Cominoto-La Pecha"
10.9,-63.9,315.2746,0.1213,23.3109,33.7756,TRUE,"San Agustin-Carabela"
10.9,-64,253.4636,0.1534,23.8848,33.7756,TRUE,"Cominoto-La Pecha"
10.9,-64.1,260.3409,0.1708,23.8705,33.7756,TRUE,"Cominoto-La Pecha"
10.9,-64.2,337.711,0.15,23.6551,33.7756,TRUE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
10.9,-64.3,221.4276,0.1929,23.588,33.7756,TRUE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
10.9,-64.4,224.823,0.1915,23.6289,32.8742,TRUE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
10.9,-64.5,193.6715,0.214,23.7514,32.8742,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
10.9,-65.1,28.0317,0.3886,24.3647,32.8742,TRUE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
10.9,-65.2,28.6429,0.4145,24.5466,32.8742,TRUE,"Playa Tiburon-La Pared-Petaquire-Media Legua-Punta Mono"
10.9,-65.3,26.0604,0.465,25.0068,32.8742,TRUE,"Playa Tiburon-La Pared-Petaquire-Media Legua-Punta Mono"
10.9,-65.4,24.6714,0.5036,25.0114,32.8742,TRUE,"Playa Tiburon-La Pared-Petaquire-Media Legua-Punta Mono"
10.9,-65.5,24.6827,0.45,24.8707,32.8742,TRUE,"Playa Tiburon-La Pared-Petaquire-Media Legua-Punta Mono"
10.9,-68.3,76.8085,0.45,26.29,49.1027,FALSE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
10.9,-68.3,76.8085,0.45,26.29,49.1027,FALSE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
10.9,-68.4,125.1567,0.4092,26.5076,49.1027,FALSE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
11,-63.7,288.0339,0.0742,23.3149,34.6771,TRUE,"San Agustin-Carabela"
11,-63.8,257.4568,0.133,23.2539,33.7756,TRUE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
11,-64.1,334.3703,0.1441,24.1862,33.7756,TRUE,"Cominoto-La Pecha"
11,-64.2,291.332,0.1408,24.1623,33.7756,TRUE,"Cominoto-La Pecha"
11,-64.4,265.5308,0.1416,23.8813,32.8742,TRUE,"Cominoto-La Pecha"
11,-64.5,182.1829,0.15,23.7801,32.8742,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
11,-65.1,30.9092,0.3595,24.441,32.8742,TRUE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
11,-65.2,36.0855,0.3248,24.4214,32.8742,TRUE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
11,-65.3,68.3329,0.3909,24.4021,32.8742,TRUE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
11,-65.4,49.7255,0.4919,24.5978,32.8742,TRUE,"Playa Tiburon-La Pared-Petaquire-Media Legua-Punta Mono"
11,-65.5,31.169,0.4452,24.5791,32.8742,TRUE,"Playa Tiburon-La Pared-Petaquire-Media Legua-Punta Mono"
11,-68.3,146.5555,0.4332,25.1489,49.1027,TRUE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
11,-68.3,146.5555,0.4332,25.1489,49.1027,TRUE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
11,-68.4,121.3004,0.4545,26.0062,49.1027,TRUE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
11.1,-63.7,293.4518,0.006,23.6004,34.6771,TRUE,"Cominoto-La Pecha"
11.1,-63.8,293.3718,0.0997,23.5864,33.7756,TRUE,"San Agustin-Carabela"
11.1,-64,408.6004,0.105,22.8609,33.7756,TRUE,"San Agustin-Carabela"
11.1,-64.1,447.7819,0.04,23.1474,33.7756,TRUE,"Cominoto-La Pecha"
11.1,-64.2,476.6111,0.1868,23.3591,33.7756,TRUE,"San Agustin-Carabela"
11.1,-64.3,357.2459,0.0936,23.3071,33.7457,TRUE,"San Agustin-Carabela"
11.1,-64.4,242.3632,0.1488,23.4396,32.8742,TRUE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
11.1,-64.5,195.0374,0.1962,23.4396,32.8742,TRUE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
11.1,-68.3,110.3276,0.4696,24.9206,49.1027,TRUE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
11.1,-68.4,241.3041,0.6079,26.6158,49.1027,FALSE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
11.1,-68.4,241.3041,0.6079,26.6158,49.1027,FALSE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
11.2,-63.7,240.143,0.0395,23.8982,34.6771,TRUE,"Cominoto-La Pecha"
11.2,-63.8,324.2164,0.1001,23.7617,33.7756,TRUE,"San Agustin-Carabela"
11.2,-63.9,285.5334,0.1169,23.2387,33.7756,TRUE,"San Agustin-Carabela"
11.2,-64,383.0662,0.1274,22.8263,33.7756,TRUE,"San Agustin-Carabela"
11.2,-64.1,328.1588,0.1622,23.1283,33.7756,TRUE,"San Agustin-Carabela"
11.2,-64.2,316.1452,0.1512,23.2904,33.7756,TRUE,"San Agustin-Carabela"
11.2,-64.3,284.9767,0.1833,23.52,33.7756,TRUE,"Puerto Real-Gabarra-Punta Conejo-La Muerta"
11.2,-64.4,252.1988,0.2093,23.574,32.8742,TRUE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
11.2,-64.5,245.8029,0.1833,23.6809,32.8742,TRUE,"Cominoto-La Pecha"
11.2,-68.3,55.8332,0.4793,24.7921,49.1027,TRUE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
11.2,-68.4,180.2964,0.5308,25.2477,49.1027,TRUE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
11.2,-68.4,180.2964,0.5308,25.2477,49.1027,TRUE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
11.2,-68.5,172.4065,0.5133,25.7645,49.1027,TRUE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
11.2,-68.5,172.4065,0.5133,25.7645,49.1027,TRUE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
11.2,-68.6,260.6738,0.5569,25.3215,49.1027,TRUE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
11.3,-63.8,269.8163,0.095,23.9009,33.7756,TRUE,"Cominoto-La Pecha"
11.3,-63.9,239.2647,0.1122,23.7361,33.7756,TRUE,"Cominoto-La Pecha"
11.3,-64,238.426,0.1585,23.2557,33.7756,TRUE,"Punta Cruz-Punta de Media Legua-Charagato-Blanca"
11.3,-68.4,58.228,0.4971,24.8009,49.1027,TRUE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
11.3,-68.5,124.0278,0.4554,24.6944,49.1027,TRUE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
11.3,-68.5,124.0278,0.4554,24.6944,49.1027,TRUE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
11.3,-68.6,387.2293,0.635,25.0927,49.1027,TRUE,"Dos Mosquises-Sur-Cienaga este-Bajo Caiman-Sombrero-Cayo de Agua"
