"latitude","longitude","InsularCoast","Laguna.d","Puerto.d","Rio.d","Afluente.Seco.d","Petroleo.d","Poblado.d","AbsorCoeffPhytoplank.Q3","AbsorCoeffNonAlgalMat.Median","ChlorophyllaConcent.Mean","PhotosyntheticRadiation.Q3","RemoteReflectance.Mean","SSTemperatureDay.Mean","SSTemperatureNight.Mean","SSTemperatureNight.Kurtosis","SeaLevelPreassure.Skewness","SeaSaltColumnDensity.Mean","SeaSaltColumnDensity.Sd","TwoMAirTemperature.Mean","SeaSaltConcentration.Mean","CarbonDioxide.Q1","CarbonDioxide.Skewness","MethaneNight.Median","MethaneNight.Q3","MethaneDay.Kurtosis","IncidentShortwave.Max","IncommingShortwave.Max","speed.cm.s.min"
10.5,-64,"Insular",13.478,30.155,11.632,10.669,19.687,6.343,27.1822,63.1,517.6438,52.9596,0.0603,23.6312,22.901,-0.1612,0.3592,25.6621,19.3452,2.9821,43.2246,3.971,-1.7063,1.8227,1.8301,1.0716,2.88,2.879,52.0069
10.5,-64,"Continental",13.478,30.155,11.632,10.669,19.687,6.343,27.1822,63.1,517.6438,52.9596,0.0603,23.6312,22.901,-0.1612,0.3592,25.6621,19.3452,2.9821,43.2246,3.971,-1.7063,1.8227,1.8301,1.0716,2.88,2.879,52.0069
10.5,-64.1,"Insular",3.585,19.897,4.052,7.999,10.479,4.397,18.5151,46.0059,582.0183,52.4839,-0.0091,23.5761,22.9926,-0.4438,0.3592,25.6621,19.3452,2.9821,43.2246,3.971,-1.7063,1.8205,1.8253,12.6578,2.88,2.879,52.423
10.5,-64.1,"Continental",3.585,19.897,4.052,7.999,10.479,4.397,18.5151,46.0059,582.0183,52.4839,-0.0091,23.5761,22.9926,-0.4438,0.3592,25.6621,19.3452,2.9821,43.2246,3.971,-1.7063,1.8205,1.8253,12.6578,2.88,2.879,52.423
10.5,-64.2,"Insular",9.118,11.022,3.378,7.141,8.437,3.643,47.36,63.1,362.0373,51.5838,-0.1222,23.593,22.9662,-0.4155,0.3592,25.6621,19.3452,2.9821,43.2246,3.971,-1.7063,1.8205,1.8253,12.6578,2.88,2.879,43.2972
10.5,-64.2,"Continental",9.118,11.022,3.378,7.141,8.437,3.643,47.36,63.1,362.0373,51.5838,-0.1222,23.593,22.9662,-0.4155,0.3592,25.6621,19.3452,2.9821,43.2246,3.971,-1.7063,1.8205,1.8253,12.6578,2.88,2.879,43.2972
10.5,-64.3,"Insular",19.812,9.278,12.217,14.892,16.483,7.427,15.85,63.1,257.3139,52.9596,0.1781,23.7411,22.6754,0.788,0.3592,25.6621,19.3452,2.9821,43.2246,3.9722,-1.7544,1.8205,1.8253,12.6578,2.88,2.879,34.2461
10.5,-67.7,"Continental",17.177,17.351,45.015,96.094,46.043,4.423,7.9531,18.9417,49.3448,52.6156,0.4482,23.52,21.71,-1.3146,-0.3545,16.6467,16.6027,2.9774,23.1698,3.975,-2.6433,1.8196,1.8253,-1.6862,2.88,2.879,10.6007
10.5,-67.8,"Continental",6.943,8.135,34.097,88.328,35.12,3.597,8.7161,23.3826,486.06,50.2079,0.15,24.5955,23.4758,-1.3556,-0.3545,16.6467,16.6027,2.9774,23.1698,3.975,-2.6433,1.8196,1.8253,-1.6862,2.88,2.879,18.745
10.5,-67.9,"Continental",3.175,8.391,23.192,81.292,24.206,5.932,15.27,43.7061,209.9752,50.9099,0.2584,25.1348,24.042,-1.9319,-0.3545,16.6467,16.6027,2.9774,23.1698,3.975,-2.6433,1.8196,1.8253,-1.6862,2.88,2.879,21.6679
10.5,-68,"Continental",7.311,1.942,12.339,75.189,13.325,4.108,17.8658,39.6677,348.799,50.8711,0.2421,25.4137,24.2709,-1.9882,-0.3545,16.6467,16.6027,2.9774,23.1698,3.975,-2.6433,1.8219,1.825,-0.6258,2.88,2.879,0
10.5,-68.1,"Continental",3.671,2.748,2.387,70.264,2.874,2.955,28.1193,63.1,861.145,50.3615,0.1237,25.8123,24.7936,-1.9303,-0.4076,41.8899,16.7045,2.9925,58.9835,3.975,-2.6433,1.8236,1.8284,6.8467,2.784,2.784,0
10.5,-68.1,"Insular",3.671,2.748,2.387,70.264,2.874,2.955,28.1193,63.1,861.145,50.3615,0.1237,25.8123,24.7936,-1.9303,-0.4076,41.8899,16.7045,2.9925,58.9835,3.975,-2.6433,1.8236,1.8284,6.8467,2.784,2.784,0
