"latitude","longitude"
11.45,-68.95
11.46,-68.93
11.45,-68.93
11.46,-68.92
11.46,-68.91
11.46,-68.89
11.46,-68.88
11.46,-68.87
11.46,-68.86
11.46,-68.84
11.45,-68.84
11.45,-68.83
11.44,-68.83
11.44,-68.82
11.42,-68.82
11.42,-68.81
11.41,-68.81
11.41,-68.79
11.4,-68.79
11.4,-68.78
11.39,-68.78
11.39,-68.77
11.37,-68.77
11.37,-68.76
11.36,-68.76
11.36,-68.74
11.35,-68.73
11.35,-68.72
11.35,-68.7
11.34,-68.7
11.34,-68.69
11.34,-68.68
11.34,-68.67
11.34,-68.65
11.34,-68.64
11.32,-68.64
11.31,-68.64
11.31,-68.63
11.3,-68.63
11.3,-68.62
11.3,-68.6
11.28,-68.6
11.28,-68.59
11.28,-68.58
11.28,-68.56
11.27,-68.55
11.27,-68.54
11.27,-68.53
11.26,-68.53
11.26,-68.51
11.25,-68.51
11.25,-68.5
11.23,-68.5
11.23,-68.49
11.22,-68.49
11.22,-68.48
11.21,-68.48
11.21,-68.46
11.21,-68.45
11.2,-68.45
11.2,-68.44
11.18,-68.44
11.18,-68.42
11.18,-68.41
11.18,-68.4
11.18,-68.39
11.17,-68.39
11.16,-68.39
11.14,-68.39
11.13,-68.39
11.13,-68.37
11.12,-68.37
11.12,-68.36
11.11,-68.36
11.11,-68.35
11.09,-68.35
11.09,-68.34
11.08,-68.34
11.07,-68.34
11.07,-68.32
11.05,-68.32
11.04,-68.31
11.03,-68.31
10.8,-68.31
10.79,-68.31
10.78,-68.31
10.76,-68.31
10.75,-68.31
10.74,-68.31
10.72,-68.31
10.71,-68.31
10.7,-68.31
10.69,-68.31
11.03,-68.3
11.02,-68.3
11,-68.3
10.99,-68.3
10.83,-68.3
10.81,-68.3
10.69,-68.3
10.67,-68.3
10.99,-68.28
10.98,-68.28
10.97,-68.28
10.84,-68.28
10.83,-68.28
10.67,-68.28
10.66,-68.28
10.65,-68.28
10.97,-68.27
10.95,-68.27
10.94,-68.27
10.85,-68.27
10.84,-68.27
10.65,-68.27
10.63,-68.27
10.62,-68.27
10.94,-68.26
10.93,-68.26
10.91,-68.26
10.9,-68.26
10.85,-68.26
10.62,-68.26
10.61,-68.26
10.9,-68.25
10.89,-68.25
10.86,-68.25
10.85,-68.25
10.61,-68.25
10.6,-68.25
10.58,-68.25
10.89,-68.23
10.88,-68.23
10.86,-68.23
10.58,-68.23
10.57,-68.23
10.57,-68.22
10.56,-68.22
10.56,-68.21
10.55,-68.21
10.53,-68.21
10.53,-68.2
10.52,-68.2
10.52,-68.18
10.51,-68.18
10.51,-68.17
10.51,-68.16
10.49,-68.16
10.49,-68.15
10.49,-68.13
10.49,-68.12
10.49,-68.11
10.49,-68.09
10.49,-68.08
10.49,-68.07
10.49,-68.06
10.49,-68.04
10.49,-68.03
10.49,-68.02
10.51,-68.01
10.49,-68.01
10.51,-67.99
10.49,-67.99
10.49,-67.98
10.48,-67.98
10.48,-67.97
10.47,-67.95
10.47,-67.94
10.47,-67.93
10.47,-67.92
10.48,-67.9
10.47,-67.9
10.48,-67.89
10.48,-67.88
10.48,-67.87
10.47,-67.87
10.47,-67.85
10.47,-67.84
10.48,-67.83
10.47,-67.83
10.49,-67.81
10.48,-67.81
10.49,-67.8
10.51,-67.79
10.49,-67.79
10.51,-67.78
10.51,-67.76
10.51,-67.75
10.51,-67.74
10.51,-67.73
10.51,-67.71
10.51,-67.7
10.51,-67.69
10.51,-67.67
10.51,-67.66
10.52,-67.65
10.51,-67.65
10.52,-67.64
10.52,-67.62
10.52,-67.61
10.52,-67.6
10.52,-67.59
10.52,-67.57
10.52,-67.56
10.53,-67.55
10.53,-67.54
10.53,-67.52
10.53,-67.51
10.53,-67.5
10.53,-67.48
10.53,-67.47
10.53,-67.46
10.53,-67.45
10.53,-67.43
10.53,-67.42
10.53,-67.41
10.53,-67.4
10.53,-67.38
10.53,-67.37
10.53,-67.36
10.55,-67.34
10.53,-67.34
10.55,-67.33
10.55,-67.32
10.55,-67.31
10.55,-67.29
10.55,-67.28
10.55,-67.27
10.55,-67.26
10.55,-67.24
10.56,-67.23
10.55,-67.23
10.56,-67.22
10.56,-67.2
10.56,-67.19
10.56,-67.18
10.57,-67.17
10.56,-67.17
10.57,-67.15
10.58,-67.14
10.58,-67.13
10.6,-67.12
10.58,-67.12
10.6,-67.1
10.6,-67.09
10.61,-67.08
10.6,-67.08
10.61,-67.06
10.61,-67.05
10.61,-67.04
10.61,-67.03
10.61,-67.02
10.61,-67
10.61,-66.99
10.61,-66.98
10.61,-66.96
10.61,-66.95
10.61,-66.94
10.61,-66.93
10.61,-66.91
10.61,-66.9
10.61,-66.89
10.61,-66.88
10.61,-66.86
10.61,-66.85
10.61,-66.84
10.61,-66.82
10.61,-66.81
10.61,-66.8
10.61,-66.79
10.61,-66.77
10.61,-66.76
10.61,-66.75
10.61,-66.73
10.62,-66.72
10.61,-66.72
10.62,-66.71
10.62,-66.7
10.62,-66.68
10.62,-66.67
10.62,-66.66
10.62,-66.65
10.62,-66.63
10.62,-66.62
10.62,-66.61
10.63,-66.59
10.62,-66.59
10.63,-66.58
10.63,-66.57
10.63,-66.56
10.63,-66.54
10.63,-66.53
10.63,-66.52
10.63,-66.51
10.63,-66.49
10.63,-66.48
10.63,-66.47
10.63,-66.46
10.63,-66.44
10.63,-66.43
10.63,-66.42
10.63,-66.41
10.63,-66.39
10.62,-66.38
10.61,-66.37
10.61,-66.35
10.61,-66.34
10.61,-66.33
10.62,-66.32
10.63,-66.3
10.62,-66.3
10.63,-66.29
10.65,-66.28
10.63,-66.28
10.65,-66.27
10.65,-66.25
10.65,-66.24
10.65,-66.23
10.65,-66.21
10.63,-66.21
10.63,-66.2
10.63,-66.19
10.62,-66.19
10.62,-66.18
10.62,-66.16
10.61,-66.16
10.61,-66.15
10.61,-66.14
10.61,-66.12
10.6,-66.12
10.6,-66.11
10.6,-66.1
10.52,-66.1
10.51,-66.1
10.49,-66.1
10.48,-66.1
10.58,-66.09
10.53,-66.09
10.52,-66.09
10.48,-66.09
10.47,-66.09
10.58,-66.07
10.53,-66.07
10.47,-66.07
10.46,-66.07
10.58,-66.06
10.57,-66.06
10.53,-66.06
10.46,-66.06
10.44,-66.06
10.57,-66.05
10.55,-66.05
10.44,-66.05
10.43,-66.05
10.57,-66.04
10.56,-66.04
10.43,-66.04
10.42,-66.04
10.42,-66.02
10.42,-66.01
10.41,-66.01
10.41,-66
10.41,-65.98
10.39,-65.98
10.39,-65.97
10.38,-65.97
10.38,-65.96
10.37,-65.96
10.37,-65.95
10.36,-65.95
10.36,-65.94
10.34,-65.94
10.34,-65.92
10.33,-65.91
10.33,-65.9
10.32,-65.9
10.32,-65.88
10.32,-65.87
10.3,-65.87
10.3,-65.86
10.29,-65.86
10.29,-65.85
10.29,-65.83
10.28,-65.83
10.28,-65.82
10.27,-65.81
10.25,-65.8
10.25,-65.78
10.24,-65.78
10.24,-65.77
10.24,-65.76
10.24,-65.74
10.23,-65.73
10.23,-65.72
10.23,-65.71
10.23,-65.69
10.23,-65.68
10.21,-65.68
10.21,-65.67
10.21,-65.66
10.21,-65.64
10.21,-65.63
10.21,-65.62
10.2,-65.62
10.2,-65.6
10.2,-65.59
10.2,-65.58
10.2,-65.57
10.2,-65.55
10.19,-65.55
10.19,-65.54
10.19,-65.53
10.18,-65.53
10.18,-65.52
10.18,-65.5
10.18,-65.49
10.16,-65.49
10.16,-65.48
10.16,-65.46
10.16,-65.45
10.15,-65.45
10.15,-65.44
10.15,-65.43
