"latitude","longitude","speed.m.s.mean","direction.deg.t.mean"
11.26,-71.88,0.1,239.459459459459
11.26,-71.87,0.1,239.189189189189
11.26,-71.86,0.1,238.918918918919
11.26,-71.91,0.1,238.648648648649
11.25,-71.91,0.1,238.378378378378
11.25,-71.87,0.1,238.108108108108
11.25,-71.88,0.1,237.837837837838
11.25,-71.89,0.1,237.567567567568
11.26,-71.83,0.1,237.297297297297
11.25,-71.83,0.1,237.027027027027
11.25,-71.82,0.1,236.756756756757
11.25,-71.84,0.1,236.486486486486
11.25,-71.86,0.1,236.216216216216
11.24,-71.86,0.1,235.945945945946
11.22,-71.87,0.1,235.675675675676
11.24,-71.83,0.1,235.405405405405
11.22,-71.86,0.1,235.135135135135
11.21,-71.87,0.1,234.864864864865
11.21,-71.86,0.1,234.594594594595
11.2,-71.87,0.1,234.324324324324
11.19,-71.87,0.1,234.054054054054
11.24,-71.82,0.1,233.783783783784
11.2,-71.86,0.1,233.513513513514
11.19,-71.86,0.1,233.243243243243
11.2,-71.84,0.1,232.972972972973
11.21,-71.84,0.1,232.702702702703
11.21,-71.83,0.1,232.432432432432
11.22,-71.82,0.1,232.162162162162
11.22,-71.83,0.1,231.891891891892
11.22,-71.84,0.1,231.621621621622
11.17,-71.86,0.1,231.351351351351
11.16,-71.86,0.1,231.081081081081
11.15,-71.87,0.1,230.810810810811
11.19,-71.84,0.1,230.540540540541
11.19,-71.83,0.1,230.27027027027
11.19,-71.82,0.1,230
11.2,-71.81,0.1,229.72972972973
11.2,-71.82,0.1,229.459459459459
11.2,-71.83,0.1,229.189189189189
11.21,-71.82,0.1,228.918918918919
11.17,-71.84,0.1,228.648648648649
11.19,-71.81,0.1,228.378378378378
11.17,-71.82,0.1,228.108108108108
11.16,-71.84,0.1,227.837837837838
11.16,-71.83,0.1,227.567567567568
11.15,-71.83,0.1,227.297297297297
11.15,-71.84,0.1,227.027027027027
11.13,-71.87,0.1,226.756756756757
11.13,-71.86,0.1,226.486486486486
11.12,-71.86,0.1,226.216216216216
11.16,-71.82,0.1,225.945945945946
